time,open,high,low,close,volume
09/08/17,128.20,128.50,127.15,128.40,265347
10/08/17,128.15,128.55,126.75,126.90,228068
11/08/17,126.10,126.15,124.20,124.70,278327
14/08/17,125.30,126.65,125.15,126.35,168307
15/08/17,126.60,127.25,126.00,127.05,174647
16/08/17,127.30,128.80,127.25,128.65,163121
17/08/17,128.70,129.20,128.00,128.55,238769
18/08/17,127.75,127.75,126.25,127.30,186896
21/08/17,126.95,127.85,126.70,127.55,133610
22/08/17,128.00,128.95,127.15,127.65,206791
23/08/17,127.95,128.40,127.25,127.35,129140
24/08/17,127.65,127.70,126.55,126.55,139962
25/08/17,126.60,127.80,126.40,126.95,135006
28/08/17,126.25,127.70,125.80,127.05,117926
29/08/17,126.25,126.25,123.60,124.65,243620
30/08/17,125.50,127.50,124.95,126.95,181557
31/08/17,128.00,129.80,127.75,129.60,326903
01/09/17,129.60,130.85,129.45,129.75,215204
04/09/17,128.95,128.95,127.60,127.95,127899
05/09/17,128.00,128.60,127.45,127.70,177864
06/09/17,127.15,127.30,125.90,126.20,241595
07/09/17,127.00,128.25,126.70,127.70,217315
08/09/17,127.40,127.70,126.40,127.60,175290
11/09/17,128.15,129.35,128.00,128.55,217229
12/09/17,129.00,129.60,128.15,128.25,282722
13/09/17,128.25,129.10,128.15,128.80,250312
14/09/17,128.45,129.20,128.25,128.85,183195
15/09/17,128.55,129.30,128.30,128.85,305344
18/09/17,129.45,129.90,129.05,129.80,95434
19/09/17,129.75,131.75,129.70,130.80,204930
20/09/17,130.75,131.40,130.40,130.45,204791
21/09/17,131.00,131.25,128.90,128.90,203085
22/09/17,129.25,130.05,128.60,129.10,218814
25/09/17,129.50,129.90,128.15,128.15,128418
26/09/17,128.10,129.25,127.45,128.25,207221
27/09/17,129.10,129.10,128.05,129.10,208330
28/09/17,129.55,130.60,129.35,130.60,170989
29/09/17,130.75,131.40,130.10,131.25,265751
02/10/17,131.55,133.70,131.25,133.55,228737
03/10/17,133.75,134.60,133.65,134.10,169557
04/10/17,134.50,135.40,133.55,134.00,184623
